Location,Lesson,Index,Question,Explain,Answer,Korean,Commentary,FileName,RecordIndex
Airport,01,03,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"大韩航空飞机出发上午9点。",O,대한항공비행기는 오전 9시에 출발한다.  ,"대한항공비행기는 오전 9시에 출발한다. ",airport_lesson_01,68
Airport,02,01,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"他想去韩国。",O,그는한국에가려고한다.  ,"그는한국에가려고한다.  ",airport_lesson_02,70
Airport,02,02,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"他带护照。",O,그는 여권을 가지고있다. ,"그는 여권을 가지고있다. ",airport_lesson_02,70
Airport,02,03,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"职员给他订靠窗的座位。",O,직원은 그에게 창가쪽 좌석을 예약해주었다.,"직원은 그에게 창가쪽 좌석을 예약해주었다.",airport_lesson_02,70
Airport,03,01,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"他没有托运的行李",X,그는 붙일 짐이 없다. ,"그는 붙일 짐이 있다. ",airport_lesson_03,73
Airport,03,02,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"职员给我等机票。",O,직원은 나에게 탑승권을 주었다. ,"직원은 나에게 탑승권을 주었다. ",airport_lesson_03,73
Airport,03,03,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"他有申报的物品",X,그는 신고할 물품이 있다. ,"그는 신고할 물품이 없다. ",airport_lesson_03,73
Airport,04,01,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"他有给他的朋友送的礼物。",O,그는 그의 친구에게 줄 선물이 있다.,"그는 친구에게 줄 선물이 있다.",airport_lesson_04,77
Airport,04,02,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"他现在在出粗车里",X,그는 지금 택시안에 있다.,"그는 지금 공항에 있다. ",airport_lesson_04,77
Airport,04,03,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"职员在检查客人的包里",O,직원이 손님의가방을 검사하고있다. ,"직원이 손님의가방을 검사하고있다. ",airport_lesson_04,77
Airport,05,01,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"他送给韩国朋友。",O,그는한국친구에게 줄것이다.,"그는한국친구에게 줄것이다.",airport_lesson_05,81
Airport,05,02,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"中国的名酒，外国朋友不喜欢。",X,"중국의명주는, 외국사람들은 싫어한다. ","중국의명주는, 외국사람들 모두 좋아한다. ",airport_lesson_05,81
Airport,05,03,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"他买了一瓶茅台酒。",X,그는마오타이주 한 병을 샀다. ,"그는마오타이주 두 병을 샀다. ",airport_lesson_05,81
Airport,06,01,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"他想看报纸。",O,그는 신문을 보고싶어한다. ,"그는 신문을 보고싶어한다. ",airport_lesson_06,85
Airport,06,02,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"他的位置是左边靠窗的位置。",X,그의 자리는 왼쪽창가쪽자리이다.,"그의 자리는 오른쪽창가쪽자리이다.",airport_lesson_06,85
Airport,06,03,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"他现在坐飞机。",O,그는 지금 비행기에타고 있다.,"그는 지금 비행기에타고 있다.",airport_lesson_06,85
