Location,Lesson,Index,Question,Explain,Choice_01,Choice_02,Choice_03,Choice_04,Answer,Commentary
Hotel,4,1,다음 단어의 번역으로 알맞은 것을 고르시오.,프론트,桑拿浴,警察局,总服务台,警卫室,3,总服务台 zǒngfúwùtái 프론트
Hotel,4,2,다음 단어의 번역으로 알맞은 것을 고르시오.,"정시에, 제시간에",那会,准时,什么时候,这会,2,"准时 zhǔnshí 정시에, 제시간에"
Hotel,4,3,다음 문장의 한어병음으로 알맞은 것을 고르시오.,谢谢,xiěxiě,xiěxiè,xièxiè,xièxie,4,谢谢 xièxie 감사합니다.
Hotel,4,4,다음 단어의 한어병음으로 알맞은 것을 고르시오.,叫醒,jiàoxìn,jiǎoxíng,jiàoxǐng,jiàoxīn,3,叫醒 jiàoxǐng (불러서) 깨(우)다
Hotel,4,5,다음 빈칸의 내용으로 알맞은 것을 고르시오.,请问，您是——房间？,哪儿,几号,那,那好,2,几号 jǐhào 몇 호\n请问，您是几号房间? 몇 호에 묵으십니까?
Hotel,4,6,다음 빈칸의 내용으로 알맞은 것을 고르시오.,明天早上我——叫醒服务。,要求,用不着,需要,提供,3,需要 xūyào 필요하다\n明天早上我需要叫醒服务。내일 아침 모닝콜 서비스가 필요합니다.
Hotel,4,7,다음 빈칸의 내용으로 알맞은 것을 고르시오.,需要——叫醒您？,几点,多咱,几号,明天,1,几点 jǐdiǎn 몇 시\n需要几点叫醒您? 몇 시에 모닝콜 해드릴까요?
Hotel,5,1,다음 단어의 번역으로 알맞은 것을 고르시오.,환전하다,还迁,换签,换钱,计算,3,换钱 huànqián 환전하다
Hotel,5,2,다음 단어의 번역으로 알맞은 것을 고르시오.,"그러나, 하지만",所以,但是,单是,胆是,2,"但是 dànshì 그러나, 하지만"
Hotel,5,3,다음 문장의 한어병음으로 알맞은 것을 고르시오.,您好!,nīnhǎo,nìnhǎo,nǐnhǎo,nínhǎo,4,您好! nínhǎo 안녕하세요!
Hotel,5,4,다음 단어의 한어병음으로 알맞은 것을 고르시오.,美元,měiyuán,méiyuán,mǎiyuán,máiyuán,1,美元 měiyuán 달러
Hotel,5,5,다음 빈칸의 내용으로 알맞은 것을 고르시오.,我想把美元——人民币。,隐藏,焚烧,换成,折叠,3,换成 huànchéng  ...로/으로 바꾸다\n我想把美元换成人民币。달러를 인민폐로 바꾸려 합니다.
Hotel,5,6,다음 빈칸의 내용으로 알맞은 것을 고르시오.,今天的——是多少？,天气,汇率,价码,日子,2,汇率  huìlǜ 환율\n今天的汇率是多少？오늘 환율이 어떻게 됩니까?
Hotel,5,7,다음 빈칸의 내용으로 알맞은 것을 고르시오.,这是您换的——。,美元,日元,纸,人民币,4,这是您换的人民币。여기 환전한 인민폐입니다.
Hotel,6,1,다음 단어의 번역으로 알맞은 것을 고르시오.,아가씨,小姐,姐姐,小孩子,哥哥,1,小姐 xiǎojiě 아가씨
Hotel,6,2,다음 단어의 번역으로 알맞은 것을 고르시오.,"체크아웃하다, 방을 반환하다",入室,预订,退房,确认,3,"退房 tuìfáng 체크아웃하다, 방을 반환하다"
Hotel,6,3,다음 단어의 한어병음으로 알맞은 것을 고르시오.,签名,zhèngmíng,qiānmíng,gǎimíng,mìngmíng,2,"签名 qiānmíng 서명하다, 사인하다"
Hotel,6,4,다음 단어의 한어병음으로 알맞은 것을 고르시오.,当然,dāngrán ,dàngxuǎn,dānràng,dàngrán,1,"当然 dāngrán 당연히, 물론"
Hotel,6,5,다음 빈칸의 내용으로 알맞은 것을 고르시오.,1206——房间。,号,豪,浩,好,1,1206号房间。1206호 방이에요.
Hotel,6,6,다음 빈칸의 내용으로 알맞은 것을 고르시오.,可以——信用卡支付吗？,勇,贴上,用,扔,3,可以用信用卡支付吗？신용카드로 지불할 수 있나요?
Hotel,6,7,다음 빈칸의 내용으로 알맞은 것을 고르시오.,服务员在——您的房间。,清扫,检查,准备,制作,2,"检查 jiǎnchá 점검하다, 검사하다\n服务员在检查您的房间。저희 직원이 방을 체크하고 있습니다."
Hotel,7,1,다음 단어의 번역으로 알맞은 것을 고르시오.,"계산서, 명세서",携带品,手册,钱包,账单,4,"账单 zhàngdān 계산서, 명세서"
Hotel,7,2,다음 단어의 번역으로 알맞은 것을 고르시오.,"분명하다, 명백하다, 확실하다",明知,明朗,明白,名片,3,"明白 míngbái 분명하다, 명백하다, 확실하다"
Hotel,7,3,다음 단어의 한어병음으로 알맞은 것을 고르시오.,费用,fèiyong,sīyòng,xíngróng,gùyōng,1,费用 fèiyong 비용
Hotel,7,4,다음 단어의 한어병음으로 알맞은 것을 고르시오.,忘记,jìzhù,jìlù,qiānmíng,wàngjì,4,"忘记 wàngjì 잊어버리다, 망각하다"
Hotel,7,5,다음 빈칸의 내용으로 알맞은 것을 고르시오.,这项是什么——？,数字,费用,字,画,2,费用 fèiyong 비용\n这项是什么费用? 이 항목의 비용은 무엇인가요?
Hotel,7,6,다음 빈칸의 내용으로 알맞은 것을 고르시오.,那就——了。,项,太,对,多,3,"对duì 맞다, 옳다\n那就对了。그럼 맞습니다."
Hotel,7,7,다음 빈칸의 내용으로 알맞은 것을 고르시오.,"一共是1200块钱, 这是对你的的——。",账单,总服务台,计算器,名片,1,"账单 zhàngdān 계산서, 명세서\n一共是1200块钱, 这是对你的的账单。모두 1200위안입니다. 여기 영수증입니다."
Hotel,8,1,뜻에 알맞은 한자를 고르시오.,유명하다,有名,又名,有明,由明,1,有名 [yǒu//míng]，유명하다
Hotel,8,2,뜻에 알맞은 한자를 고르시오.,"(음식점에서 식사 주문 시 제공하는) 식단 차림표,메뉴",才旦,菜单,菜但,菜旦,2,"菜单 [càidān] ,(음식점에서 식사 주문 시 제공하는) 식단 차림표,메뉴"
Hotel,8,3,"한자를보고, 알맞은 한어병음을 고르시오.",种类,zhǒnglēi,zhònglèi,zhōnglèi,zhǒnglèi,4,"种类 [zhǒnglèi] ,  종류"
Hotel,8,4,"한자를보고, 알맞은 한어병음을 고르시오.",特色,tēsē,tèsē,tèsè,tésè,3,"特色 [tèsè] , 특색. 특징."
Hotel,8,5,본문내용에 알맞은 단어를 고르시오. ,我们两——人。,位,个,张,本,2,우리는 2명이다.
Hotel,8,6,본문내용에 알맞은 단어를 고르시오. ,这里——特色菜是什么？,地,得,的,真,3,여기 특산요리는 무엇인가요?
Hotel,8,7,본문내용에 알맞은 단어를 고르시오. ,麻婆豆腐——辣。,有些,一点儿,非常,很,1,마파두부는 좀 맵다. 
Airport,1,1,뜻에 알맞은 한자를 고르시오.,（여객기나 여객선의) 정기편,行办,航办,杭班,航班,4,"航班 [hángbān], （여객기나 여객선의) 정기편"
Airport,1,2,뜻에 알맞은 한자를 고르시오.,"（비행기나 로켓등이) 이륙하다,떠오르다,날아오르다",气费,其飞,起飞,起非,3,"起飞 [qǐfēi] , （비행기나 로켓등이) 이륙하다,떠오르다,날아오르다"
Airport,1,3,"한자를보고, 알맞은 한어병음을 고르시오.",姓名,xìngmíng,xíngmíng,xíngmìng,xìngmìng,1,"姓名 [xìngmíng] ,  성명. "
Airport,1,4,"한자를보고, 알맞은 한어병음을 고르시오.",留,liù,liú,liū,riú,2,"留 [liú] , 머무르다. 묵다. 체재하다."
Airport,1,5,본문내용에 알맞은 단어를 고르시오. ,上午9点起飞可以—？,嘛,马,呢,吗,4,오전 9시비행기괜찮으세요?
Airport,1,6,본문내용에 알맞은 단어를 고르시오. ,飞机——12点。,出发,除法,到,迟到,1,비행기는12시에 출발한다. 
Airport,1,7,본문내용에 알맞은 단어를 고르시오. ,请留下您的姓名和护照—？,好马,号吗,好吗,号码,4,성함과여권번호 말씀해주세요.
Airport,2,1,뜻에 알맞은 한자를 고르시오.,"닿다,접근하다,가까이하다,기대다",那,靠,哪,纳,2,"靠 [kào] , 닿다,접근하다,가까이하다,기대다"
Airport,2,2,뜻에 알맞은 한자를 고르시오.,"(주로 공공장소의 좌석,자리",座位,作为,做为,坐位,1,"座位 [zuò‧wèi] , 주로 공공장소의 좌석,자리"
Airport,2,3,"한자를보고, 알맞은 한어병음을 고르시오.",窗,chuàng,chuàng,chuāng,cuàng,3,"窗 [chuāng] , 창문."
Airport,2,4,"한자를보고, 알맞은 한어병음을 고르시오.",护照,hùzào,hūzhào,húzhào,hùzhào,4,"护照 [hùzhào] ,  여권.  (출장·여행·화물 운송 따위의) 증명서"
Airport,2,5,본문내용에 알맞은 단어를 고르시오. ,我想买大韩——公司飞机票。,工作,航空,航班,公司,2,대한항공비행기표사고싶습니다.
Airport,2,6,본문내용에 알맞은 단어를 고르시오. ,我想买一张明天到韩国的——？,车,飞机票,火车票,电影票,2,나는 내일한국에도착하는 비행기표를 사고싶습니다. 
Airport,2,7,본문내용에 알맞은 단어를 고르시오. ,请给我一张靠窗的——好吗？,空位,不,座位,爱,3,제게 창가자리로 주시겠어요?
Airport,3,1,뜻에 알맞은 한자를 고르시오.,(서면으로)상급기관이나 관련기관에 보고하다.,申报,身报,申包,肾宝,1,"申报 [shēnbào] , (서면으로)상급기관이나 관련기관에 보고하다."
Airport,3,2,뜻에 알맞은 한자를 고르시오.,운송을 위탁하다.,拖运,托云,托运,拖运,3,"托运 [tuōyùn] , 운송을 위탁하다."
Airport,3,3,"한자를보고, 알맞은 한어병음을 고르시오.",登机,dēngjǐ,dèngjí,děngjǐ,dēngjī,4,"登机 [dēng//jī] , (비행기에) 탑승하다."
Airport,3,4,"한자를보고, 알맞은 한어병음을 고르시오.",机票,jípiào,jǐpiào,jīpiào,jīpiáo,3,"机票 [jīpiào] , 비행기표. 비행기 탑승권."
Airport,3,5,본문내용에 알맞은 단어를 고르시오. ,有要托运的——？,行李,物理,兴利,行礼,1,부치실짐이 있나요?
Airport,3,6,본문내용에 알맞은 단어를 고르시오. ,你有要申报的物品，——填写神报单。,有,需要,喜欢,买,2,"신고할 물품을가지고있으면, 신고서를 작성해야합니다."
Airport,3,7,본문내용에 알맞은 단어를 고르시오. ,请——您的机票和护照。,看,出示,出发,卖,2,비행기표와여권을 좀 보여주세요.
Airport,4,1,뜻에 알맞은 한자를 고르시오.,"싣다, 꾸리다, 포장하다, 적재하다",庄,接,装,送,3,"装 [zhuāng] ，싣다, 꾸리다, 포장하다, 적재하다"
Airport,4,2,뜻에 알맞은 한자를 고르시오.,"열다,펼치다,풀다 ",物理,打名,开始,打开,4,"打开 [dǎ//kāi] , 열다,펼치다,풀다 "
Airport,4,3,"한자를보고, 알맞은 한어병음을 고르시오.",用品,yòngpǐn,yǒugpǐn,yōugpǐn,yòngpìn,1,"用品 [yòngpǐn] ,  용품."
Airport,4,4,"한자를보고, 알맞은 한어병음을 고르시오.",礼物,liwū,lìwù,lǐwù,lǐwū,3,"礼物 [lǐwù] , 예물. 선물.  (간단한) 방문 선물."
Airport,4,5,본문내용에 알맞은 단어를 고르시오. ,请打开—，我们需要检查。,一上,一下,一看,一会,2,"가방좀열어주세요, 검사좀하겠습니다. "
Airport,4,6,본문내용에 알맞은 단어를 고르시오. ,谢谢您的—。,合作,和做,喝作  ,合坐,1,협조해 주셔서 감사합니다.
Airport,4,7,본문내용에 알맞은 단어를 고르시오. ,这是我要—给朋友的礼物。,松,知,送,宋,3,친구에게 줄 선물입니다. 
Airport,5,1,뜻에 알맞은 한자를 고르시오.,병,平,瓶,开,般,2,"瓶 [píng] , 병"
Airport,5,2,뜻에 알맞은 한자를 고르시오.,마오타이주,猫台九,茅太酒,毛台酒,茅台酒,4,"茅台酒 [máotáijiǔ] , 마오타이주"
Airport,5,3,"한자를보고, 알맞은 한어병음을 고르시오.",白酒, bāijiǔ,bǎijiu,báijiǔ,bǎijiǔ,3,"白酒 [báijiǔ , 배갈. 백주. "
Airport,5,4,"한자를보고, 알맞은 한어병음을 고르시오.",外国,wāiguó,wàiguó,wàiguō,wǎiguó,2,"外国 [wàiguó] ,  외국."
Airport,5,5,본문내용에 알맞은 단어를 고르시오. ,中国的—，外国朋友都很喜欢。,名酒,明酒,名菜,名茶,1,중국명주는 외국사함들도 다 좋아합니다.
Airport,5,6,본문내용에 알맞은 단어를 고르시오. ,回国时送给韩国的—。,叔叔,哥哥,朋友,父母,3,돌아갈때 한국친구에게 선물하려고요.
Airport,5,7,본문내용에 알맞은 단어를 고르시오. ,我—买两瓶中国白酒。,会,想,能,一定,2,중국바이주 두병을 사고싶습니다.
Airport,6,1,뜻에 알맞은 한자를 고르시오.,"위치, 자리, 장소",位座,为止,位坐,位置,4,"位置 [wèi‧zhì] , 위치, 자리, 장소"
Airport,6,2,뜻에 알맞은 한자를 고르시오.,승무원,乘五员,成午园,乘务员,乘务园,3,"乘务员 [chéngwùyuán] , 승무원"
Airport,6,3,"한자를보고, 알맞은 한어병음을 고르시오.",报纸,bàozhǐ,báozhǐ,báozhī,bàozhī,1,"报纸 [bàozhǐ] ,  신문. 신문지 신문 용지."
Airport,6,4,"한자를보고, 알맞은 한어병음을 고르시오.",其他,qítà,qǐtā,qítā,qītā,3,"其他 [qítā] , 기타. 그 외."
Airport,6,5,본문내용에 알맞은 단어를 고르시오. ,—有其他需要吗？,更,还,海,不,2,또 필요한건 없으신가요?
Airport,6,6,본문내용에 알맞은 단어를 고르시오. ,—乘坐本机！,欢应,花迎,光临,欢迎,4,저희비행기에 탑승하신걸 환영합니다.
Airport,6,7,본문내용에 알맞은 단어를 고르시오. ,请问我的—在哪儿边？,位置,位之,窗户,洗手间,1,제자리는 어느쪽 인가요?
