Location,Lesson,Type,Index,Chinese,Pinyin,Korean,FileName,Extension,Remark
Hotel,2,단어,1,满,mǎn,차다. 가득하다,hotel_lesson_02_word_01,,
Hotel,2,단어,2,标准间,biāozhǔnjiàn,스탠다드룸,hotel_lesson_02_word_02,,
Hotel,3,회화,1,欢迎光临！,Huānyíng guānglín!,환영합니다!,hotel_lesson_03_conv_01,,
Hotel,3,회화,2,您好！我预订了一个单人间，我姓金。,Nín hǎo! Wǒ yùdìng le yí ge dānrénjiān，wǒ xìng jīn.,안녕하세요. 1인실 하나 예약했는데요. 제 성은 김입니다.,hotel_lesson_03_conv_02,,
Hotel,3,회화,3,金先生，请稍等。对不起，没有您的预订记录。,Jīn xiānsheng，qǐng shāo děng。\nDuìbuqǐ，méiyǒu nín de yùdìng jìlù.,김준성...잠시만 기다려주세요. 죄송합니다. 예약이 되어 있지 않네요.,hotel_lesson_03_conv_03,,
Hotel,3,회화,4,我昨天晚上预订的，怎么会没有记录?,Wǒ zuótiān wǎnshàng yùdìng de， \nzěnme huì méiyǒu jìlù?,어제 저녁에 예약했는데요. 왜 예약이 안 되어 있죠?,hotel_lesson_03_conv_04,,
Hotel,3,회화,5,是您亲自预订的吗？,Shì nín qīnzì yùdìng de ma?,직접 예약하셨나요?,hotel_lesson_03_conv_05,,
Hotel,3,회화,6,是的。我叫金唆星，订了一个单人间，请您再确认一下。,Shì de. Wǒ jiào jīnsuòxīng， dìng le yí ge dānrénjiān， \nqǐng nín zài quèrèn yíxià.,"네. 김준성으로 1인실 예약을 했는데, 다시 한 번 확인해 주세요.",hotel_lesson_03_conv_06,,
Hotel,3,단어,1,记录,jìlù,"(듣거나 발생한 사건 등을) 적다, 기록(記錄)하다",hotel_lesson_03_word_01,,
Hotel,3,단어,2,亲 自,qīnzì,"자기 스스로, 몸소, 직접，친히",hotel_lesson_03_word_02,,
Hotel,3,단어,3,订,dìng,"(조약, 계약, 계획, 규정 등을) 세우다.체결하다. 맺다",hotel_lesson_03_word_03,,
Hotel,3,단어,4,确认,quèrèn,확인하다,hotel_lesson_03_word_04,,
Hotel,4,회화,1,喂！您好，总服务台。,Wèi！ Nín hǎo， zǒng fúwùtái.,네! 프론트입니다,hotel_lesson_04_conv_01,,
Hotel,4,회화,2,您好！明天早上我需要叫醒服务。,Nín hǎo! Míngtiān zǎoshàng\nwǒ xūyào jiàoxǐng fúwù.,안녕하세요. 내일 아침 모닝콜 서비스가 필요한데요.,hotel_lesson_04_conv_02,,
Hotel,4,회화,3,请问，您是几号房间？,"Qǐngwèn, nín shì jǐ hào fángjiān?","네, 몇 호에 묵으십니까?",hotel_lesson_04_conv_03,,
Hotel,4,회화,4,1206号房间,Yāo-èr-líng-liù hào fángjiān.,1206호 입니다.,hotel_lesson_04_conv_04,,
Hotel,4,회화,5,需要几点叫醒您？,Xūyào jǐ diǎn jiàoxǐng nín?,몇 시에 모닝콜 해 드릴까요?,hotel_lesson_04_conv_05,,
Hotel,4,회화,6,明天早上六点。,Míngtiān zǎoshàng liù diǎn.,내일 아침 6시요,hotel_lesson_04_conv_06,,
Hotel,4,회화,7,1206号房间，我们会在明天早上 6点准时叫醒您。,Yāo-èr-líng-liù hào fángjiān，\nwǒmen huì zài míngtiān zǎoshàng liù diǎn zhǔnshí jiàoxǐng nín.,"1206호로, 아침 6시에 모닝콜 서비스 해 드리겠습니다.",hotel_lesson_04_conv_07,,
Hotel,4,회화,8,谢谢！,Xièxie!,감사합니다.,hotel_lesson_04_conv_08,,
Hotel,4,단어,1,总服务台,zǒngfúwùtái,프론트,hotel_lesson_04_word_01,,
Hotel,4,단어,2,叫醒,jiàoxǐng,(불러서) 깨(우)다,hotel_lesson_04_word_02,,
Hotel,4,단어,3,服务,fúwù,(단체나 다른 사람의 이익 또는 일을 위해서) 봉사하다. 서비스하다,hotel_lesson_04_word_03,,
Hotel,4,단어,4,准时,zhǔnshí,정시에. 제때에. 제시간에,hotel_lesson_04_word_04,,
Hotel,5,회화,1,您好！请问这儿可以换钱吗?,Nín hǎo! Qǐngwèn zhèr\nkěyǐ huànqián ma?,안녕하세요? 여기서 환전할 수 있나요?,hotel_lesson_05_conv_01,,
Hotel,5,회화,2,可以，但是需要出示证明。,"Kěyǐ, dànshì xūyào chūshì zhèngmíng.",네，그런데 신분 증명이 필요합니다.,hotel_lesson_05_conv_02,,
Hotel,5,회화,3,证明在这儿。我想把美元换成人民币。,Zhèngmíng zài zhèr。\nWǒ xiǎng bǎ měiyuán huàn chéng rénmínbì.,여기 신분증이요. 달러를 인민폐로 바꾸려고 합니다.,hotel_lesson_05_conv_03,,
Hotel,5,회화,4,您想换多少？,Nín xiǎng huàn duōshǎo?,얼마나 환전하실 건가요?,hotel_lesson_05_conv_04,,
Hotel,5,회화,5,今天的汇率是多少？,Jīntiān de huìshuài shì duōshǎo?,오늘 환율이 어떻게 되나요?,hotel_lesson_05_conv_05,,
Hotel,5,회화,6,7.95。,Qī diǎn jiǔ wǔ.,7.95 입니다.,hotel_lesson_05_conv_06,,
Hotel,5,회화,7,那给我换1000美元吧。,Nà gěi wǒ huàn yìqiān měiyuán ba.,"그럼 여기 1,000달러 환전해 주세요.",hotel_lesson_05_conv_07,,
Hotel,5,회화,8,这是您换的人民币，请收好。,"Zhè shì nín huàn de rénmínbì,\nqǐng shōu hǎo.",여기 환전한 인민폐입니다. 받아주세요.,hotel_lesson_05_conv_08,,
Hotel,5,단어,1,换钱,huànqián,환전하다,hotel_lesson_05_word_01,,
Hotel,5,단어,2,但是,dànshì,"그러나, 하지만",hotel_lesson_05_word_02,,
Hotel,5,단어,3,证明,zhèngmíng,증명(證明)하다,hotel_lesson_05_word_03,,
Hotel,5,단어,4,美元,měiyuán,"달러 (dolla, 미국의 화폐 단위로 1달러는 100센트임)",hotel_lesson_05_word_04,,
Hotel,5,단어,5,换成,huànchéng,~으로 바꾸다,hotel_lesson_05_word_05,,
Hotel,5,단어,6,人民币,rénmínbì,"인민폐(人民幣, 중화인민공화국(中華 人民共和國)의 법정 화폐)",hotel_lesson_05_word_06,,
Hotel,5,단어,7,汇率,huìshuài,환율(換率),hotel_lesson_05_word_07,,
Hotel,5,단어,8,收,shōu,"(널려 있거나 흩어져 있는 것을) 거두어들이다, 간직하다",hotel_lesson_05_word_08,,
Hotel,6,회화,1,小姐，我要退房。,"Xiǎojiě, wǒ yāo tuì fáng.",아가씨，체크아웃을 하려고 합니다.,hotel_lesson_06_conv_01,,
Hotel,6,회화,2,请问您的姓名和房间号码？,Qǐngwèn nín de xìngmíng hé fángjiān hàomǎ?,손님 성함과 방 번호 좀 알려주시겠어요?,hotel_lesson_06_conv_02,,
Hotel,6,회화,3,206号房间，金唆星。这是房卡。,Yāo-èr-líng-liù hào fángjiān，jīn jùn xīng. \nZhè shì fángkǎ.,1206호 방이고 김준성입니다. 여기 방카드요.,hotel_lesson_06_conv_03,,
Hotel,6,회화,4,请稍等一下，服务员在检查您的房间 可以了，一共一千六百块人民币。,Qǐng shāo děng yíxià， fúwùyuán zài jiǎnchá nín de fángjiān...\nKěyǐ le， yígòng yìqiān liùbǎi kuài rénmínbì.,"잠시만 기다려 주세요. 저희 직원이 방을 체크하고 있습니다. 예, 다 됐습니다. 숙박비는 모두 1,600위안입니다.",hotel_lesson_06_conv_04,,
Hotel,6,회화,5,可以用信用卡支付吗？,Kěyǐ yòng xìnyòngkǎ zhīfù ma?,신용카드로 지불할 수 있나요?,hotel_lesson_06_conv_05,,
Hotel,6,회화,6,当然可以。,Dāngrán kěyǐ.,물론입니다.,hotel_lesson_06_conv_06,,
Hotel,6,회화,7,给您。,Gěi nín.,여기 있습니다.,hotel_lesson_06_conv_07,,
Hotel,6,회화,8,请您在这里签名。谢谢！欢迎您再次光临我们酒店。,Qǐng nín zài zhèlǐ qiānmíng.\nXièxie! Huānyíng nín zàicì guānglín wǒmen jiǔdiàn.,여기 서명 부탁드립니다. 감사합니다. 다음 번에도 저희 호텔을 방문해 주십시오.,hotel_lesson_06_conv_08,,
Hotel,6,회화,9,再见！,Zàijiàn!,안녕히 계세요!,hotel_lesson_06_conv_09,,
Hotel,6,단어,1,小姐,Xiǎojiě,아가씨,hotel_lesson_06_word_01,,
Hotel,6,단어,2,退房,Tuìfáng,"방을 반환하다, 체크아웃하다",hotel_lesson_06_word_02,,
Hotel,6,단어,3,检查,Jiǎnchá,"점검(點檢)하다, 검사(檢査)하다",hotel_lesson_06_word_03,,
Hotel,6,단어,4,一共,Yígòng,"모두, 전부",hotel_lesson_06_word_04,,
Hotel,6,단어,5,信用卡,Xìnyòngkǎ,신용카드,hotel_lesson_06_word_05,,
Hotel,6,단어,6,支付,Zhīfù,(돈을) 지불하다,hotel_lesson_06_word_06,,
Hotel,6,단어,7,当效,Dāngxiào,"당연히, 물론",hotel_lesson_06_word_07,,
Hotel,6,단어,8,签名,Qiānmíng,(문서 등에) 서명(署名)하다，사인하다,hotel_lesson_06_word_08,,
Hotel,6,단어,9,再次,Zàicì,두 번째. 재차,hotel_lesson_06_word_09,,
Hotel,7,회화,1,您好！ 一共是1200块钱，这是您的账单。,"Nín hǎo! Yígòng shì yìqiān èrbǎi kuài qián, \nzhè shì nín de zhàngdān.","안녕하세요. 모두 1,200위안입니다. 여기 영수증입니다",hotel_lesson_07_conv_01,,
Hotel,7,회화,2,对不起，是不是算错了，我有些看不明白。,"Duìbuqǐ, shì bú shì suàn cuò le,\nwǒ yǒuxiē kàn bù míngbai.",죄송하지만 계산이 잘못된 거 같은데요. 잘 이해가 안 돼요.,hotel_lesson_07_conv_02,,
Hotel,7,회화,3,请问您对哪项费用有疑问？,Qǐngwèn nín duì na xiàng fèiyong yǒu yíwèn?,어떤 항목의 비용이 이해가 안 되시나요?,hotel_lesson_07_conv_03,,
Hotel,7,회화,4,这项是什么费用？,Zhèxiàng shì shénme fèiyong?,이 항목의 비용은 무엇인가요?,hotel_lesson_07_conv_04,,
Hotel,7,회화,5,这项是我们的服务费，按5%收取。,"Zhè xiàng shì wǒmen de fúwùfèi,\nàn bǎifēnzhī wǔ shōuqǔ.","예，이 항목은 서비스차지고, 5% 부과됩니다",hotel_lesson_07_conv_05,,
Hotel,7,회화,6,哦，我忘记服务费了，那就对了,"ò, wǒ wàngjì fúwùfèi le, nà jiù duì le.",아 제가 서비스차지를 잊었네요. 그럼 맞아요.,hotel_lesson_07_conv_06,,
Hotel,7,단어,1,账单,zhàngdān,"계산서, 명세서",hotel_lesson_07_word_01,,
Hotel,7,단어,2,算,suàn,"(숫자나 수량 등을) 계산하다, 셈하다",hotel_lesson_07_word_02,,
Hotel,7,단어,3,错,cuò,"틀리다, 부정확하다, 맞지 않다. 잘못, 과실. 흠",hotel_lesson_07_word_03,,
Hotel,7,단어,4,明白,míngbai,"(내용이나 뜻 등이) 분명하다, 명백하다, 확실하다",hotel_lesson_07_word_04,,
Hotel,7,단어,5,费用,fèiyong,비용 (費用),hotel_lesson_07_word_05,,
Hotel,7,단어,6,疑问,yíwèn,의문,hotel_lesson_07_word_06,,
Hotel,7,단어,7,项,xiàng,항목,hotel_lesson_07_word_07,,
Hotel,7,단어,8,按,àn,~에 의거하여. 〜에 따라서. 〜에 준하여 / (손이나 손가락 등으로) 누르다,hotel_lesson_07_word_08,,
Hotel,7,단어,9,收取,shōuqǔ,"수취하다, 받다",hotel_lesson_07_word_09,,
Hotel,7,단어,10,忘记,wàngjì,"(예전에 겪었던 일을) 잊어버리다, 기억하지 못하다. 망각(忘却)하다",hotel_lesson_07_word_10,,
Hotel,8,회화,1,欢迎光临！请问几位？,Huānyíng guānglín! Qǐngwèn jǐwèi?,어서 오세요! 몇 분이신가요?,hotel_lesson_08_conv_01,,
Hotel,8,회화,2,两个人。,Liǎng gè rén,두 사람이요.,hotel_lesson_08_conv_02,,
Hotel,8,회화,3,请坐。请问想吃点什么？,Qǐng zuò. Qǐngwèn xiǎng chī diǎn shénme?,앉으세요. 무엇을 드시겠어요?,hotel_lesson_08_conv_03,,
Hotel,8,회화,4,请给我看一下菜单，好吗？,"Qǐng gěi wǒ kàn yíxià càidān, hǎo ma?",메뉴판 좀 주시겠어요?,hotel_lesson_08_conv_04,,
Hotel,8,회화,5,给您。,Gěi nín.,여기 있습니다.,hotel_lesson_08_conv_05,,
Hotel,8,회화,6,菜的种类还真不少！,Cài de zhǒnglèi hái zhēn bù shǎo!,요리 종류가 정말 많네요!,hotel_lesson_08_conv_06,,
Hotel,8,회화,7,请问，您想点什么菜？,"Qǐngwèn, nín xiǎng diǎn shénme cài?",손님，어떤 요리로 드시겠습니까?,hotel_lesson_08_conv_07,,
Hotel,8,회화,8,这里的特色菜是什么？,Zhèlǐ de tèsè cài shì shénme?,여기 특산요리가 무엇인가요?,hotel_lesson_08_conv_08,,
Hotel,8,회화,9,我们 的 四川菜很有名，鱼香肉丝和 麻婆豆腐 都是我们的特色菜。,"Wǒmén de sìchuān cài hěn yǒumíng,\nyúxiāng ròusī hé mápo dòufu dōu shì wǒmen de tèsè cài.",저희 사천요리는 매우 유명합니다. 위쌍로우쓰와 마파두부 둘 다 저희 사천 지역의 특색요리입니다.,hotel_lesson_08_conv_09,,
Hotel,8,회화,10,好的。那就点这两个吧。,Hǎo de. Nà jiù diǎn zhè liǎng gè ba.,좋습니다. 그 두 개로 할게요.,hotel_lesson_08_conv_10,,
Hotel,8,회화,11,但是这两个菜都有些辣，请问您能吃辣的吗？,"Dànshì zhè liǎng gè cài dōu yǒuxiē là,\nqǐngwèn nín néng chī là de ma?",근데 이 두 요리 모두 좀 매운데，매운 것 잘 드시나요?,hotel_lesson_08_conv_11,,
Hotel,8,회화,12,没关系，我们都喜欢辣。,"Méi guānxi, wǒmen dōu xǐhuan là.",괜찮습니다. 저희 모두 매운 거 좋아해요.,hotel_lesson_08_conv_12,,
Hotel,8,단어,1,菜单,càidān,"(음식점에서 식사 주문 시 제공하는)식단 차림표, 메뉴",hotel_lesson_08_word_01,,
Hotel,8,단어,2,种类,zhònglèi,종류(種類),hotel_lesson_08_word_02,,
Hotel,8,단어,3,真,zhēn,"진실(眞實)하다, 참되다. 사실이다",hotel_lesson_08_word_03,,
Hotel,8,단어,4,特色,tèsè,특색(特色)，특징(特徴),hotel_lesson_08_word_04,,
Hotel,8,단어,5,菜,cài,"음식, 요리",hotel_lesson_08_word_05,,
Hotel,8,단어,6,四川,sìchuān,사천,hotel_lesson_08_word_06,,
Hotel,8,단어,7,有名,yǒumíng,유명(有名)하다.,hotel_lesson_08_word_07,,
Hotel,8,단어,8,麻婆豆腐,mápo dòufu,마파두부,hotel_lesson_08_word_08,,
Hotel,8,단어,9,辣,là,맵다.  매운 맛,hotel_lesson_08_word_09,,
Hotel,8,단어,10,有些,yǒuxiē,"일부(분), 어떤 것",hotel_lesson_08_word_10,,
Airport,1,회화,1,您好！我想买一张8月5号到韩国的飞机票。,Nín hǎo! Wǒ xiǎng mǎi yì zhāng\nbā yuè wǔ hào dào hánguó de fēijīpiào.,안녕하세요! 8월 5일날 한국에 가는 비행기표를 구입하려고 하는데요.,airport_lesson_01_conv_01,,
Airport,1,회화,2,请问要买哪家航空公司的？,Qǐngwèn yāo mǎi nǎ jiā hángkōng gōngsī de?,어느 항공사를 이용하실 건가요?,airport_lesson_01_conv_02,,
Airport,1,회화,3,大韩航空公司的。,Dàhán hángkōng gōngsī de.,대한항공이요.,airport_lesson_01_conv_03,,
Airport,1,회화,4,您想几点钟出发？,Nín xiǎng jǐ diǎnzhōng chūfā?,몇 시에 출발하실건가요?,airport_lesson_01_conv_04,,
Airport,1,회화,5,有上午的航班吗？,Yǒu shàngwǔ de hángbān ma?,오전에 비행편이 있나요?,airport_lesson_01_conv_05,,
Airport,1,회화,6,有的，上午9点起飞可以吗？,"Yǒu de, shàngwǔ jiǔ diǎn qǐfēi kěyǐ ma?",네，있습니다. 오전 9시 출발인데 괜찮으신가요?,airport_lesson_01_conv_06,,
Airport,1,회화,7,好的，帮我订一张。,"Hǎo de, bāng wǒ dìng yì zhāng.",네，한 자리 예약해주세요.,airport_lesson_01_conv_07,,
Airport,1,회화,8,请留下您的姓名和护照号码。,Qǐng liú xià nín de xìngmíng hé hùzhào hàomǎ.,성함과 여권번호를 말씀해 주세요.,airport_lesson_01_conv_08,,
Airport,1,단어,1,航空,hángkōng,"항공(航空)과 관련있는, 항공의",airport_lesson_01_word_01,,
Airport,1,단어,2,出发,chūfā,출발하다,airport_lesson_01_word_02,,
Airport,1,단어,3,航班,hángbān,(여객기나 여객선의) 정기편(定期便),airport_lesson_01_word_03,,
Airport,1,단어,4,起飞,qǐfēi,"(비행기나 로켓 등이) 이륙(離陸)하다, 떠오르다, 날아 오르다",airport_lesson_01_word_04,,
Airport,1,단어,5,号码,hàomǎ,"번호, 사이즈(size), 호수(號數)",airport_lesson_01_word_05,,
Airport,2,회화,1,您好！东方航空公司星期六到韩国的飞机票还有吗？,Nín hǎo! Dōngfāng hángkōng gōngsī xīngqī liù dào hánguó de fēijīpiào hái yǒu ma?,안녕하세요! 토요일에 한국으로 가는 동방항공 비행기표 있나요?,airport_lesson_02_conv_01,,
Airport,2,회화,2,有的，请出示您的护照。,"Yǒu de, qǐng chūshì nín de hùzhào.",네，있습니다. 여권 좀 보여 주시겠어요.,airport_lesson_02_conv_02,,
Airport,2,회화,3,给您。,Gěi nín.,여기 있습니다.,airport_lesson_02_conv_03,,
Airport,2,회화,4,请问您一个人吗？,Qǐngwèn nín yí ge rén ma?,혼자가시는 건가요?,airport_lesson_02_conv_04,,
Airport,2,회화,5,是的。请给我靠窗的座位可以吗？,Shì de. Qǐng gěi wǒ kào chuāng de zuòwèi kěyǐ ma?,네，창가 자리로 좀 주시겠어요?,airport_lesson_02_conv_05,,
Airport,2,회화,6,好的。,Hǎo de.,"네, 알겠습니다.",airport_lesson_02_conv_06,,
Airport,2,단어,1,靠,kào,"을 닿다. 접근(接近)하다, 가까이하다. 기대다",airport_lesson_02_word_01,,
Airport,2,단어,2,窗,chuāng,"창, 창문",airport_lesson_02_word_02,,
Airport,2,단어,3,靠窗,kào chuāng,창가 쪽,airport_lesson_02_word_03,,
Airport,2,단어,4,座位,zuòwèi,"(주로 공공장소) 좌석, 자리",airport_lesson_02_word_04,,
Airport,3,회화,1,您好，请出示您的机票和护照。,"Nín hǎo, qǐng chūshì nín de jīpiào hé hùzhào.",안녕하세요! 비행기 티켓과 여권을 좀 보여주시겠어요.,airport_lesson_03_conv_01,,
Airport,3,회화,2,给您。,Gěi nín.,여기 있습니다.,airport_lesson_03_conv_02,,
Airport,3,회화,3,有要托运的行李吗？,Yǒu yāo tuōyùn de xíngli ma?,부치실 수하물이 있으신가요?,airport_lesson_03_conv_03,,
Airport,3,회화,4,有，在这里。,"Yǒu, zài zhèlǐ.",있습니다. 여기요.,airport_lesson_03_conv_04,,
Airport,3,회화,5,行李中有要申报的物品吗？需要填写申报单。,Xíngli zhōng yǒu yào shēnbào de wùpǐn ma?\nXūyào tiánxiě shēnbàodān.,짐 안에 신고할 물품이 들어 있으신가요? 있으면 신고서를 작성해주셔야 합니다.,airport_lesson_03_conv_05,,
Airport,3,회화,6,没有。,Méiyǒu。,없습니다.,airport_lesson_03_conv_06,,
Airport,3,회화,7,这是您的登机牌，请拿好。,"Zhè shì nín de dēngjīpái, qǐng ná hǎo.",여기 탑승권입니다. 잘 챙기세요.,airport_lesson_03_conv_07,,
Airport,3,회화,8,谢谢！,Xièxie!,감사합니다.,airport_lesson_03_conv_08,,
Airport,3,단어,1,机票,jīpiào,"비행기표, 탑승권",airport_lesson_03_word_01,,
Airport,3,단어,2,托运,tuōyùn,운송을 위탁하다,airport_lesson_03_word_02,,
Airport,3,단어,3,行李,xíngli,짐,airport_lesson_03_word_03,,
Airport,3,단어,4,申报,shēnbào,(서면으로) 상급기관이나 관련기관에 보고하다,airport_lesson_03_word_04,,
Airport,3,단어,5,登机,dēngjī,(비행기에) 탑승하다,airport_lesson_03_word_05,,
Airport,4,회화,1,您好！请问这个包里装的是什么？,Nín hǎo!\nQǐngwèn zhège bāo lǐ zhuāng de shì shénme?,안녕하세요! 가방 안에 들어있는 게 무엇인가요?,airport_lesson_04_conv_01,,
Airport,4,회화,2,这里都是我的个人用品。,Zhèlǐ dōu shì wǒ dí gèrén yòngpǐn.,모두 제가 사용하는 물건들입니다.,airport_lesson_04_conv_02,,
Airport,4,회화,3,请打开一下，我们需要检查。,"Qǐng dǎkāi yíxià, wǒmen xūyào jiǎnchá.",가방 좀 열어주시겠어요. 가방 검사 좀 하겠습니다.,airport_lesson_04_conv_03,,
Airport,4,회화,4,好的。,Hǎo de.,알겠습니다.,airport_lesson_04_conv_04,,
Airport,4,회화,5,请问这些都是什么？,Qǐngwèn zhè xiē dōu shì shénme?,이것들은 다 뭔가요?,airport_lesson_04_conv_05,,
Airport,4,회화,6,这是我要送给朋友的礼物。,Zhè shì wǒ yāo sònggěi péngyou de lǐwù.,친구에게 줄 선물입니다,airport_lesson_04_conv_06,,
Airport,4,회화,7,可以了。谢谢您的合作。,Kěyǐ le. Xièxie nín de hézuò.,됐습니다. 협조해 주셔서 감사합니다.,airport_lesson_04_conv_07,,
Airport,4,단어,1,装,zhuāng,"싣다, 꾸리다, 포장하다, 적재하다",airport_lesson_04_word_01,,
Airport,4,단어,2,用品,yòngpǐn,용품,airport_lesson_04_word_02,,
Airport,4,단어,3,打开,dǎkāi,"열다, 펼치다, 풀다",airport_lesson_04_word_03,,
Airport,4,단어,4,送,sòng,"주다, 선사하다",airport_lesson_04_word_04,,
Airport,4,단어,5,礼物,lǐwù,선물(膳物). 사은품,airport_lesson_04_word_05,,
Airport,5,회화,1,您好！您想买点什么？,Nín hǎo! Nín xiǎng mǎi diǎn shénme?,안녕하세요. 찾으시는 물건이 있으신가요?,airport_lesson_05_conv_01,,
Airport,5,회화,2,我想买两瓶中国白酒。,Wǒ xiǎng mǎi liǎng píng zhōngguó báijiǔ.,중국 바이주 두 병을 사려고요.,airport_lesson_05_conv_02,,
Airport,5,회화,3,是要送人吗？,Shì yāo sòng rén ma?,선물하실 건가요?,airport_lesson_05_conv_03,,
Airport,5,회화,4,是的。回国时送给韩国的朋友。,Shì de. Huíguó shí sòng gěi hánguó de péngyou.,네. 돌아갈 때 한국친구에게 선물하려고요,airport_lesson_05_conv_04,,
Airport,5,회화,5,那就买茅台酒吧。中国的名酒，外国朋友都很喜欢。,"Nà jiù mǎi máotái jiǔbā.\nZhōngguó de míngjiǔ, wàiguó péngyou dōu hěn xǐhuan.",그럼，마오타이주 어떠세요. 중국 명주는 외국사람들도 다 좋아합니다.,airport_lesson_05_conv_05,,
Airport,5,회화,6,好的，请给我两瓶。,"Hǎo de, qǐng gěi wǒ liǎng píng.",알겠습니다. 두 병 주세요.,airport_lesson_05_conv_06,,
Airport,5,단어,1,瓶,píng,병,airport_lesson_05_word_01,,
Airport,5,단어,2,白酒,báijiǔ,바이주,airport_lesson_05_word_02,,
Airport,5,단어,3,茅台酒,máotáijiǔ,마오타이주,airport_lesson_05_word_03,,
Airport,6,회화,1,您好！欢迎乘坐本机！,Nín hǎo! Huānyíng chéngzuò běnjī!,저희 비행기를 이용해 주셔서 감사합니다.,airport_lesson_06_conv_01,,
Airport,6,회화,2,请问我的位置在哪边?,Qǐngwèn wǒ dí wèizhì zài nǎbiān?,제 자리는 어느 쪽 인가요?,airport_lesson_06_conv_02,,
Airport,6,회화,3,您是右边靠窗的位置。,Nín shì yòubiān kào chuāng de wèizhi.,오른쪽 창가 쪽 좌석입니다.,airport_lesson_06_conv_03,,
